"selection1_Country","selection1_Rank","selection1_GamesPlayed","selection1_GoalAgainst","selection1_ShotsOffTarget"
"Argentina","1","7","8","36"
"France","2","7","8","36"
"Croatia","3","7","7","36"
"Brazil","4","5","3","28"
"Germany","5","3","5","28"
"Morocco","6","7","5","27"
"England","7","5","4","22"
"Senegal","8","4","7","22"
"Portugal","9","5","6","21"
"Uruguay","10","3","2","20"
"Spain","11","4","3","18"
"Canada","12","3","7","18"
"Netherlands","13","5","4","17"
"Japan","14","4","4","17"
"United States","15","4","4","17"
"Korea Republic","16","4","8","16"
"Denmark","17","3","3","16"
"Saudi Arabia","18","3","5","15"
"Serbia","19","3","8","15"
"Mexico","20","3","3","14"